,author_name,published_date,updated_date,like_count,text
59,Cuan Ciak,2020-10-22T16:33:30Z,2020-10-22T16:33:30Z,0,SAMPAIKAN KEPADA KEPOLISIAN RI. KETUA KSPI dan Ketua BEM PROVOKATOR BANGSA. PEMECAH BELAH NEGARA RI. MEREKA BIKIN KERUSUHAN TERUS DIMANA2. TOLONG DITANGKAP. SAYA SEBAGAI WARGA NEGARA SANGAT JENGKEL DENGAN KETUA KSPI SAID  BLOON. YG SELALU MENGERAKKAN BURUH. UJUNG2NYA BURUH DI PHK DAN INVESTOR TUTUP PABRIIK. KETUA KSPI SI SAID BLOON KEMANA PERGINYA. PEKERJAKAN BURUH YG DI PHK??
60,Cuan Ciak,2020-10-22T16:33:25Z,2020-10-22T16:33:25Z,0,SAMPAIKAN KEPADA KEPOLISIAN RI. KETUA KSPI dan Ketua BEM PROVOKATOR BANGSA. PEMECAH BELAH NEGARA RI. MEREKA BIKIN KERUSUHAN TERUS DIMANA2. TOLONG DITANGKAP. SAYA SEBAGAI WARGA NEGARA SANGAT JENGKEL DENGAN KETUA KSPI SAID  BLOON. YG SELALU MENGERAKKAN BURUH. UJUNG2NYA BURUH DI PHK DAN INVESTOR TUTUP PABRIIK. KETUA KSPI SI SAID BLOON KEMANA PERGINYA. PEKERJAKAN BURUH YG DI PHK??
61,CikSha 93,2020-10-22T04:14:25Z,2020-10-22T04:14:25Z,0,sabar ya jiran  .moga kalian tabah. kami mndoakan yg terbaik buat kalian saudara disana. tetap semangat terus ya saudara. moga kalian dilindung dari azab dizalimi pmrntah.
62,Wan K,2020-10-22T01:39:01Z,2020-10-22T01:39:01Z,1,Malaysia aman
63,Rita Fitri,2020-10-22T01:17:01Z,2020-10-22T01:17:01Z,5,YeAllah kenapa negara q tercinta jadi hancur aq melihat dari liar negri sedih rakyatnya gak patuh gak seperti rakyat di malaysia
64,chanel 4605,2020-10-21T23:52:38Z,2020-10-21T23:52:38Z,0,Awas banyak oknum yg menyamar..
65,Muhammad Novka,2020-10-21T11:25:07Z,2020-10-21T11:25:07Z,0,Demo kok rusuh . <br>Pecat aaaaje tu buruh
66,norusha sensei',2020-10-21T09:09:05Z,2020-10-21T09:09:05Z,0,Begitu jugak dimalaysia salah guna kuasa dan rasuah berleluasa apa lah nasib dgn negara islam selagi imam mahdi belum muncul mungkin negara islam akan terus begejolak😢
67,Sulis Tiya,2020-10-21T08:52:55Z,2020-10-21T08:52:55Z,0,Astaghfirullah..
68,NUR SUDI,2020-10-21T06:38:04Z,2020-10-21T06:38:04Z,0,"buruh sudh nggak demo,tinggal mahasiswa sm anak stm sm 212 wkkwkwk"
69,Chris Hutabarat,2020-10-21T03:36:46Z,2020-10-21T03:36:46Z,0,Apik
