,author_name,published_date,updated_date,like_count,text
87,Erik Sh,2020-10-14T22:42:11Z,2020-10-14T22:42:11Z,1,Kalo di bagiin di jejaring sosial lain bisa kena pidana gak??
88,mozha payu,2020-10-14T20:22:28Z,2020-10-14T20:22:28Z,0,Benar.. Emang boleh ya.. Polisi gebukin.. Pendemo yg anarkis.. Padahal udh ketangkep
89,Adi Kusuma,2020-10-14T18:43:18Z,2020-10-14T18:43:18Z,0,Ruu stan <br>Naskah blom dikasih DPR kabupaten udah disalon ajh lucu aneh
90,Imanul Jabal,2020-10-14T17:19:30Z,2020-10-14T17:19:30Z,0,Faktanya Jokowi ngomong tidak sesuai kenyataan itu namanya hoak super besar
91,Aldi Andi,2020-10-14T16:27:26Z,2020-10-14T16:27:26Z,0,Hidup mahasiswa
92,Wahyu Koben,2020-10-14T16:15:48Z,2020-10-14T16:15:48Z,0,"Semakin kalian membumkam,semakin kalian bertindak kasar.maka kami bisa lebih anarkis,dan bisa menghancurkan kota"
93,Ace Ventura,2020-10-14T16:05:53Z,2020-10-14T16:05:53Z,0,Masalah brutal Saya rasa sama2 brutal. 😂😂
94,juwet420 TV,2020-10-14T16:00:11Z,2020-10-14T16:00:11Z,0,setuju gak sih kalau polisi yang bener bener lulus dari akademi dan tes lebih punya jiwa melindungi masyarakat dari pada polisi yang lulusan karena ada uang ???<br>( yang setuju like yang gak setuju silahkan komentar )
95,Ulin Nuha,2020-10-14T14:43:36Z,2020-10-14T14:43:36Z,0,"Media yahudi udah mulai propaganda, makin jelas dibalik demo ini Ada hti, yahudi Dan cemdana"
96,ItsStella!💜,2020-10-14T14:04:41Z,2020-10-14T14:04:41Z,0,Saya yakin...sebagian besar dari pengunjuk rasa ini sebenarnya tidak tau apa sebenarnya yang dia perjuangkan...sehingga ikut demo.
97,Ilham Naufal,2020-10-14T14:01:35Z,2020-10-14T14:01:35Z,0,Apaan ni polisi beraninya pakek senjata kalo berani tangan kosong jangan pakek tameng
98,Rahmat Al-QUDS mujahidin Gaza,2020-10-14T13:50:16Z,2020-10-14T13:50:16Z,0,"Inilah cerminan HUKUM di Negara kita, tajam ke bawah tumpul ke atas"
99,Alek Diva,2020-10-14T12:45:59Z,2020-10-14T12:45:59Z,0,Bebek mana bebek buakakak
100,Anto Rimbauan,2020-10-14T12:31:39Z,2020-10-14T12:31:39Z,0,Revolusi
101,Gagak Putih,2020-10-14T12:22:28Z,2020-10-14T12:22:28Z,0,"Rakyat ingin menemui wakilnya dengan membawa aspirasi....dihalangi tameng polisi ! Rakyat bingung....tameng tak bisa ditembus dan di buka dengan mengucap salam dan permisi...gedung dpr milik rakyat....ingin masuk itu hak rakyat, gedung rakyat dikuasai wakil rakyat yg tak mau mengemban aspirasi rakyat dengan berlindung tameng polisi yg kokoh, polisi bimbang sudah tugasnya menjaga dan rakyat gusar di cap anarkis,"
102,Tatang Tendra,2020-10-14T12:19:00Z,2020-10-14T12:19:00Z,0,"Polisi tindakannya udah kebangetan brutal, padahal mereka (para polisi) dapet gaji bisa saja dari pajak  orang yang dianiyaya. Tolong berfikir jernih bapak polisi, rakyat tidak akan demo kalau pemerintah berlaku adil, jujur dan JADI SURITAULADAN RAKYAT."
103,syahroni,2020-10-14T11:50:52Z,2020-10-14T11:50:52Z,0,kekacauan ini smwua berawal dari gorong-gorong😡😠
104,Niken Andreas,2020-10-14T11:24:40Z,2020-10-14T11:24:40Z,0,bukan polisi profesional yg berlaku brutal lebih baik di pecat dan di penjarakan.
105,Alin suwardi,2020-10-14T11:23:28Z,2020-10-14T11:23:28Z,0,"Kata si joko banyak hoax yg beredar di medsos!!! kalo semua uud cipta kerja  kembali ke uud tahun 2003 soal ketengakerjaan terus buat apa di buat dan di ubah2 kata2nya,dan baleg hari ini mengubah draft dan kata2 menjadi lebih ringkas,knp baru sekarang di ubah lagi pas mau di serahin ke si joko,knp gak dari kemaren2 di koreksi itu isinya???? Hadeehhhh...pada bisa kerja gak sih? Pada bisa bahasa indonesia gak si baleg dan dpr ini?"
106,SUTAN GANYAH,2020-10-14T11:23:08Z,2020-10-14T11:23:08Z,0,Trus untuk apa uu tersebut..jokower..memperhalus kata aja..bohong..hantam terusss
107,Niken Andreas,2020-10-14T11:22:20Z,2020-10-14T11:22:20Z,0,polisi brutal
108,muhamad imam sodiqin,2020-10-14T11:21:39Z,2020-10-14T11:21:39Z,0,Lebih parah dari 98
109,Aris Achmad Efendi,2020-10-14T11:21:14Z,2020-10-14T11:21:14Z,1,"POLISI BRTUAL YA MASA IKUT BRUTAL,,,anggota bilng masa kena hoaks,,,kalo memang hoaks,coba banjarkan isi uud nya,,anggota nya atau pemerintah jgn bersembunyi di balik polri dan TNI,,,,"
110,Esy Sahara,2020-10-14T11:17:59Z,2020-10-14T11:17:59Z,0,Itulah polisi di negri ini...RATA2 JAHAT2 SEMUA......
111,Alim Rusydi,2020-10-14T11:14:09Z,2020-10-14T11:14:09Z,0,Ini negara demokrasi kan???
112,M.F. Sky,2020-10-14T11:13:19Z,2020-10-14T11:13:19Z,0,Hajar pak
113,real taekwondo real men,2020-10-14T11:05:13Z,2020-10-14T11:05:13Z,0,MK adalah alat pemerintahan
114,Mardiyano Ady,2020-10-14T11:04:47Z,2020-10-14T11:04:47Z,0,Selamat berjuang mahasiswa dan buruh
115,Priyantoyanto Yanto,2020-10-14T11:01:35Z,2020-10-14T11:01:35Z,0,"Kenapa ga di tembak peluru tajam sih pelaku2 demo anarkis, pemerintah sangat tidak tegas."
116,Hai Xiomi,2020-10-14T10:59:53Z,2020-10-14T10:59:53Z,1,"Begini lah akhlak pemerinth kita, di buat RUU, ntk membinasakan rkyt sndri."
117,butser wll,2020-10-14T10:59:20Z,2020-10-14T10:59:20Z,0,TERNYATA JOKOWI LEBIH JAHAT DARI PREMAN.
118,Rama Dhani,2020-10-14T10:58:57Z,2020-10-14T10:58:57Z,0,Semakin eg ada wibawa pemrintah di mata rakyat nya sendiri.menangis para pahlawan indonesia yg menjunjung tinggi pancasila dan 1945 eg benar2 di jalan kn para pemimpin negara serta pemerintahan  .
119,Aku Cung,2020-10-14T10:56:53Z,2020-10-14T10:58:19Z,1,bikin undang&quot; buat DPR juga dong..<br>tidur diruang kerja gaji dipotong 50%.<br>korupsi penjara seumur hidup.<br>tidak masuk dinas langsung pecat..
120,Beny Mulyana,2020-10-14T10:52:55Z,2020-10-14T10:52:55Z,0,"Dipukul, dihajar.. Itu sebuah konsekuensi perjuangan.. Semua terasa indah saat tercapai.. Tetap semangat... Jangan anarkis, polisi juga sama sama buruh sama2 manusia yang punya emosi.. Keep smile.. 😂"
121,Fazly Guntara,2020-10-14T10:49:58Z,2020-10-14T10:49:58Z,0,"Ttp semanggat pak polisi, ap yg kamu lakukan hari ini n nantinya, itu sdh benar. Jgn takut. Allah swt, selalu melindunggi. Amin ya robbi."
122,Fazly Guntara,2020-10-14T10:47:15Z,2020-10-14T10:47:15Z,0,"Yg brutal bkn polisi, tp kalian lah yg brutal. Mangkanya jgn anarkis. Sok hebat kalian. Yg ribut dirimu n anarkis, di salahin orang. Polisi juga manusia sama sm kalian semua. Mangkanya demo jgn anarkis kok gk mau di tindak."
123,epul oficial.,2020-10-14T10:43:12Z,2020-10-14T10:43:12Z,0,liat nya juga udh kaya palestina lawan israel😪
124,AING MAUNG,2020-10-14T10:40:33Z,2020-10-14T10:40:33Z,0,MAU NYA HARUS DI TURUTIN . MERASA KEK NGONTRAK DI NEGARA SENDIRI 😊😊😊
